trait_type,value,multiplier,rarity
Ear Accessory,Gold Hoop,1,17.41304347826087
Ear Accessory,Silver Hoop,1,3.3375
Ear Accessory,Diamond Stud,1,2.78125
Ear Accessory,Silver Studs (Pair),1,21.64864864864865
Hair,Bald,1,5.68595041322314
Hair,None,1,1.7462039045553146
Hair,Waves,1,31.272727272727273
Hair,Medusa,1,36.21052631578947
Hair,Mohawk,1,29.91304347826087
Hair,Topknot,1,32.76190476190476
Hair,Bed Hair,1,1.4956521739130435
Hair,Locks,1,31.272727272727273
